CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF;REGIAO
105;1200104;BRASILÉIA;Brasiléia;AC;NORTE
107;1200203;CRUZEIRO DO SUL;Cruzeiro do Sul;AC;NORTE
109;1200336;MÂNCIO LIMA;Mâncio Lima;AC;NORTE
113;1200302;FEIJÓ;Feijó;AC;NORTE
139;1200401;RIO BRANCO;Rio Branco;AC;NORTE
145;1200500;SENA MADUREIRA;Sena Madureira;AC;NORTE
147;1200609;TARAUACÁ;Tarauacá;AC;NORTE
149;1200708;XAPURI;Xapuri;AC;NORTE
151;1200385;PLÁCIDO DE CASTRO;Plácido de Castro;AC;NORTE
153;1200450;SENADOR GUIOMARD;Senador Guiomard;AC;NORTE
155;1200344;MANOEL URBANO;Manoel Urbano;AC;NORTE
157;1200054;ASSIS BRASIL;Assis Brasil;AC;NORTE
643;1200013;ACRELÂNDIA;Acrelândia;AC;NORTE
645;1200138;BUJARI;Bujari;AC;NORTE
647;1200179;CAPIXABA;Capixaba;AC;NORTE
649;1200807;PORTO ACRE;Porto Acre;AC;NORTE
651;1200252;EPITACIOLÂNDIA;Epitaciolândia;AC;NORTE
653;1200328;JORDÃO;Jordão;AC;NORTE
655;1200351;MARECHAL THAUMATURGO;Marechal Thaumaturgo;AC;NORTE
657;1200393;PORTO WALTER;Porto Walter;AC;NORTE
659;1200427;RODRIGUES ALVES;Rodrigues Alves;AC;NORTE
661;1200435;SANTA ROSA DO PURUS;Santa Rosa do Purus;AC;NORTE
560;2701357;CAMPESTRE;Campestre;AL;
562;2703759;JEQUIÁ DA PRAIA;Jequiá da Praia;AL;
971;2709152;TEOTÔNIO VILELA;Teotônio Vilela;AL;
2641;2706448;PARIPUEIRA;Paripueira;AL;
2643;2702553;ESTRELA DE ALAGOAS;Estrela de Alagoas;AL;
2645;2706422;PARICONHA;Pariconha;AL;
2701;2700102;ÁGUA BRANCA;Água Branca;AL;
2703;2700201;ANADIA;Anadia;AL;
2705;2700300;ARAPIRACA;Arapiraca;AL;
2707;2700409;ATALAIA;Atalaia;AL;
2709;2700508;BARRA DE SANTO ANTÔNIO;Barra de Santo Antônio;AL;
2711;2700607;BARRA DE SÃO MIGUEL;Barra de São Miguel;AL;
2713;2700706;BATALHA;Batalha;AL;
2715;2700805;BELÉM;Belém;AL;
2717;2700904;BELO MONTE;Belo Monte;AL;
2719;2701001;BOCA DA MATA;Boca da Mata;AL;
2721;2701100;BRANQUINHA;Branquinha;AL;
2723;2701209;CACIMBINHAS;Cacimbinhas;AL;
2725;2701308;CAJUEIRO;Cajueiro;AL;
2727;2701407;CAMPO ALEGRE;Campo Alegre;AL;
2729;2701506;CAMPO GRANDE;Campo Grande;AL;
2731;2701605;CANAPI;Canapi;AL;
2733;2701704;CAPELA;Capela;AL;
2735;2701803;CARNEIROS;Carneiros;AL;
2737;2701902;CHÃ PRETA;Chã Preta;AL;
2739;2702009;COITÉ DO NÓIA;Coité do Nóia;AL;
2741;2702108;COLÔNIA LEOPOLDINA;Colônia Leopoldina;AL;
2743;2702207;COQUEIRO SECO;Coqueiro Seco;AL;
2745;2702306;CORURIPE;Coruripe;AL;
2747;2702405;DELMIRO GOUVEIA;Delmiro Gouveia;AL;
2749;2702504;DOIS RIACHOS;Dois Riachos;AL;
2751;2702603;FEIRA GRANDE;Feira Grande;AL;
2753;2702702;FELIZ DESERTO;Feliz Deserto;AL;
2755;2702801;FLEXEIRAS;Flexeiras;AL;NORDESTE
2757;2702900;GIRAU DO PONCIANO;Girau do Ponciano;AL;NORDESTE
2759;2703007;IBATEGUARA;Ibateguara;AL;NORDESTE
2761;2703106;IGACI;Igaci;AL;NORDESTE
2763;2703205;IGREJA NOVA;Igreja Nova;AL;NORDESTE
2765;2703304;INHAPI;Inhapi;AL;NORDESTE
2767;2703403;JACARÉ DOS HOMENS;Jacaré dos Homens;AL;NORDESTE
2769;2703502;JACUÍPE;Jacuípe;AL;NORDESTE
2771;2703601;JAPARATINGA;Japaratinga;AL;NORDESTE
2773;2703700;JARAMATAIA;Jaramataia;AL;NORDESTE
2775;2703809;JOAQUIM GOMES;Joaquim Gomes;AL;NORDESTE
2777;2703908;JUNDIÁ;Jundiá;AL;NORDESTE
2779;2704005;JUNQUEIRO;Junqueiro;AL;NORDESTE
2781;2704104;LAGOA DA CANOA;Lagoa da Canoa;AL;NORDESTE
2783;2704203;LIMOEIRO DE ANADIA;Limoeiro de Anadia;AL;NORDESTE
2785;2704302;MACEIÓ;Maceió;AL;NORDESTE
2787;2704401;MAJOR ISIDORO;Major Isidoro;AL;NORDESTE
2789;2704500;MARAGOGI;Maragogi;AL;NORDESTE
2791;2704609;MARAVILHA;Maravilha;AL;NORDESTE
2793;2704708;MARECHAL DEODORO;Marechal Deodoro;AL;NORDESTE
2795;2704807;MARIBONDO;Maribondo;AL;NORDESTE
2797;2704906;MAR VERMELHO;Mar Vermelho;AL;NORDESTE
2799;2705002;MATA GRANDE;Mata Grande;AL;NORDESTE
2801;2705101;MATRIZ DE CAMARAGIBE;Matriz de Camaragibe;AL;NORDESTE
2803;2705200;MESSIAS;Messias;AL;NORDESTE
2805;2705309;MINADOR DO NEGRÃO;Minador do Negrão;AL;NORDESTE
2807;2705408;MONTEIRÓPOLIS;Monteirópolis;AL;NORDESTE
2809;2705507;MURICI;Murici;AL;NORDESTE
2811;2705606;NOVO LINO;Novo Lino;AL;NORDESTE
2813;2705705;OLHO D'ÁGUA DAS FLORES;Olho d'Água das Flores;AL;NORDESTE
2815;2705804;OLHO D'ÁGUA DO CASADO;Olho d'Água do Casado;AL;NORDESTE
